datetime,open,high,low,close,volume
2020-07-01 09:15:00,10323.8,10355.7,10299.8,10328.55,0
2020-07-01 09:45:00,10328.4,10363.15,10328.4,10350.45,0
2020-07-01 10:15:00,10350.35,10350.35,10324.7,10331.2,0
2020-07-01 10:45:00,10330.35,10350.5,10318.55,10336.6,0
2020-07-01 11:15:00,10336.95,10371.85,10329.8,10362.35,0
2020-07-01 11:45:00,10362.4,10391.1,10354.0,10388.35,0
2020-07-01 12:15:00,10387.8,10407.25,10379.3,10398.45,0
2020-07-01 12:45:00,10398.4,10433.75,10398.4,10421.4,0
2020-07-01 13:15:00,10422.05,10446.65,10408.9,10429.8,0
2020-07-01 13:45:00,10429.1,10438.35,10399.05,10432.9,0
2020-07-01 14:15:00,10433.0,10442.25,10415.6,10421.9,0
2020-07-01 14:45:00,10421.45,10446.5,10398.15,10436.4,0
2020-07-01 15:15:00,10436.4,10437.5,10413.0,10419.45,0
2020-07-02 09:15:00,10493.05,10537.95,10490.1,10533.8,0
2020-07-02 09:45:00,10533.2,10545.25,10516.3,10533.15,0
2020-07-02 10:15:00,10533.55,10539.9,10503.6,10512.15,0
2020-07-02 10:45:00,10512.75,10529.45,10491.95,10505.5,0
2020-07-02 11:15:00,10505.1,10537.05,10491.15,10535.0,0
2020-07-02 11:45:00,10534.85,10559.65,10523.2,10556.85,0
2020-07-02 12:15:00,10556.6,10567.45,10541.25,10565.8,0
2020-07-02 12:45:00,10567.1,10573.25,10542.75,10560.95,0
2020-07-02 13:15:00,10561.4,10576.25,10551.7,10570.65,0
2020-07-02 13:45:00,10570.45,10597.25,10570.45,10593.35,0
2020-07-02 14:15:00,10593.1,10595.3,10563.3,10565.1,0
2020-07-02 14:45:00,10565.35,10572.05,10543.65,10546.1,0
2020-07-02 15:15:00,10546.55,10564.95,10539.6,10563.6,0
2020-07-03 09:15:00,10614.95,10627.9,10573.45,10575.45,0
2020-07-03 09:45:00,10574.75,10604.9,10565.7,10597.15,0
2020-07-03 10:15:00,10597.6,10610.9,10585.4,10594.05,0
2020-07-03 10:45:00,10594.55,10610.95,10578.45,10589.5,0
2020-07-03 11:15:00,10588.95,10617.0,10581.7,10616.35,0
2020-07-03 11:45:00,10615.6,10630.8,10609.1,10613.95,0
2020-07-03 12:15:00,10614.95,10627.1,10600.1,10602.7,0
2020-07-03 12:45:00,10601.7,10604.5,10587.7,10588.65,0
2020-07-03 13:15:00,10587.85,10602.25,10563.05,10571.1,0
2020-07-03 13:45:00,10571.05,10612.5,10565.3,10603.35,0
2020-07-03 14:15:00,10602.45,10606.6,10579.9,10594.4,0
2020-07-03 14:45:00,10594.9,10608.55,10585.45,10606.85,0
2020-07-03 15:15:00,10606.75,10620.75,10600.45,10602.7,0
2020-07-06 09:15:00,10723.85,10730.85,10695.95,10727.25,0
2020-07-06 09:45:00,10726.6,10753.15,10719.4,10736.7,0
2020-07-06 10:15:00,10736.55,10745.6,10728.5,10736.7,0
2020-07-06 10:45:00,10736.65,10749.0,10735.0,10749.0,0
2020-07-06 11:15:00,10748.95,10763.9,10745.4,10762.35,0
2020-07-06 11:45:00,10762.8,10768.35,10753.05,10765.6,0
2020-07-06 12:15:00,10765.65,10777.6,10762.3,10775.4,0
2020-07-06 12:45:00,10775.2,10799.65,10775.2,10795.05,0
2020-07-06 13:15:00,10794.9,10810.75,10791.4,10791.4,0
2020-07-06 13:45:00,10792.35,10793.75,10763.35,10768.85,0
2020-07-06 14:15:00,10769.05,10778.6,10749.7,10749.95,0
2020-07-06 14:45:00,10750.55,10768.15,10748.55,10767.05,0
2020-07-06 15:15:00,10766.2,10779.5,10756.55,10770.05,0
2020-07-07 09:15:00,10802.85,10802.85,10753.8,10770.35,0
2020-07-07 09:45:00,10770.65,10781.9,10752.9,10775.0,0
2020-07-07 10:15:00,10774.95,10793.15,10745.3,10773.9,0
2020-07-07 10:45:00,10774.2,10774.65,10726.2,10733.5,0
2020-07-07 11:15:00,10733.45,10733.45,10690.1,10704.7,0
2020-07-07 11:45:00,10704.6,10728.95,10701.35,10728.4,0
2020-07-07 12:15:00,10728.6,10775.95,10720.05,10751.35,0
2020-07-07 12:45:00,10750.95,10770.5,10742.25,10767.75,0
2020-07-07 13:15:00,10766.7,10795.5,10759.7,10773.15,0
2020-07-07 13:45:00,10773.0,10773.4,10741.55,10769.4,0
2020-07-07 14:15:00,10769.4,10788.4,10765.6,10777.75,0
2020-07-07 14:45:00,10777.6,10813.35,10770.6,10796.9,0
2020-07-07 15:15:00,10797.3,10806.3,10780.7,10787.5,0
2020-07-08 09:15:00,10818.65,10847.7,10798.35,10821.3,0
2020-07-08 09:45:00,10820.3,10830.7,10785.1,10788.1,0
2020-07-08 10:15:00,10788.4,10817.9,10785.0,10813.9,0
2020-07-08 10:45:00,10813.8,10815.0,10786.9,10795.25,0
2020-07-08 11:15:00,10795.3,10814.7,10773.05,10776.25,0
2020-07-08 11:45:00,10775.45,10792.6,10767.7,10791.2,0
2020-07-08 12:15:00,10791.7,10810.45,10779.45,10809.4,0
2020-07-08 12:45:00,10810.0,10818.9,10796.35,10807.9,0
2020-07-08 13:15:00,10807.9,10826.55,10789.05,10821.3,0
2020-07-08 13:45:00,10822.3,10833.5,10805.65,10823.35,0
2020-07-08 14:15:00,10823.1,10830.5,10733.3,10733.3,0
2020-07-08 14:45:00,10732.3,10745.75,10708.0,10708.9,0
2020-07-08 15:15:00,10708.85,10709.3,10677.5,10696.15,0
2020-07-09 09:15:00,10755.55,10766.75,10733.6,10762.2,0
